height,weight,label
116,65,fat
169,57,normal
182,64,normal
161,61,normal
153,62,fat
202,59,thin
128,56,fat
141,64,fat
167,65,normal
132,58,fat
185,57,thin
205,60,thin
192,60,thin
176,57,thin
208,65,thin
119,63,fat
110,58,fat
129,62,fat
139,63,fat
143,58,fat
128,59,fat
119,65,fat
112,62,fat
123,60,fat
135,60,fat
116,57,fat
159,64,fat
111,62,fat
153,64,fat
199,62,thin
196,61,thin
142,61,fat
213,64,thin
137,57,fat
140,63,fat
195,64,thin
191,57,thin
217,56,thin
172,57,normal
170,62,normal
212,55,thin
162,62,normal
130,56,fat
157,64,fat
185,63,thin
164,55,normal
164,65,normal
120,57,fat
203,57,thin
126,60,fat
165,55,normal
177,58,normal
111,55,fat
131,59,fat
193,65,thin
190,64,thin
120,58,fat
192,64,thin
131,57,fat
201,60,thin
176,61,normal
173,63,normal
178,61,normal
160,57,normal
131,57,fat
114,64,fat
171,61,normal
171,62,normal
171,63,normal
179,65,normal
139,58,fat
178,56,thin
200,63,thin
207,65,thin
149,63,fat
157,56,normal
205,65,thin
188,59,thin
149,62,fat
141,60,fat
116,64,fat
168,62,normal
148,60,fat
145,63,fat
119,59,fat
139,58,fat
150,63,fat
165,58,normal
193,61,thin
172,56,normal
211,62,thin
164,61,normal
130,57,fat
211,55,thin
138,61,fat
217,60,thin
120,57,fat
110,62,fat
120,57,fat
111,56,fat
192,61,thin
174,59,normal
133,63,fat
214,60,thin
171,65,normal
159,63,normal
203,60,thin
129,55,fat
183,61,thin
147,65,fat
197,59,thin
170,62,normal
146,55,fat
116,65,fat
141,62,fat
170,59,normal
167,63,normal
135,64,fat
124,62,fat
121,63,fat
178,57,thin
142,56,fat
145,62,fat
139,59,fat
177,57,thin
140,59,fat
162,65,normal
114,57,fat
180,57,thin
198,65,thin
216,65,thin
175,56,thin
117,62,fat
147,56,fat
164,57,normal
129,61,fat
131,57,fat
198,63,thin
203,58,thin
158,56,normal
163,64,normal
142,55,fat
181,58,thin
137,62,fat
115,56,fat
112,56,fat
194,55,thin
155,59,normal
142,62,fat
193,63,thin
131,65,fat
177,61,normal
214,62,thin
208,58,thin
180,56,thin
198,60,thin
179,62,normal
167,57,normal
197,55,thin
114,55,fat
205,57,thin
145,65,fat
204,64,thin
143,58,fat
180,57,thin
135,57,fat
129,55,fat
141,57,fat
120,65,fat
149,59,fat
179,59,thin
143,58,fat
112,55,fat
169,60,normal
129,65,fat
164,57,normal
203,64,thin
211,61,thin
149,58,fat
158,64,fat
205,59,thin
138,65,fat
114,57,fat
125,59,fat
110,57,fat
171,63,normal
113,60,fat
193,57,thin
121,56,fat
123,63,fat
159,60,normal
177,58,normal
209,61,thin
111,63,fat
119,59,fat
210,60,thin
134,64,fat
184,65,normal
200,63,thin
181,62,normal
202,63,thin
138,58,fat
153,59,fat
170,60,normal
113,55,fat
189,57,thin
210,65,thin
162,65,normal
174,64,normal
157,65,fat
201,55,thin
157,59,normal
111,57,fat
110,55,fat
199,57,thin
114,57,fat
155,62,fat
121,56,fat
134,64,fat
186,58,thin
162,62,normal
202,57,thin
168,59,normal
165,61,normal
185,58,thin
191,64,thin
162,65,normal
123,61,fat
204,57,thin
182,59,thin
129,56,fat
190,62,thin
162,63,normal
137,59,fat
153,64,fat
118,65,fat
166,64,normal
167,60,normal
119,59,fat
219,64,thin
120,61,fat
176,56,thin
154,59,normal
126,55,fat
117,59,fat
119,56,fat
158,60,normal
179,61,normal
212,58,thin
112,65,fat
118,55,fat
201,55,thin
172,56,normal
153,63,fat
117,55,fat
170,63,normal
207,58,thin
207,62,thin
112,57,fat
110,57,fat
199,55,thin
114,59,fat
135,59,fat
151,59,fat
207,60,thin
171,58,normal
198,55,thin
117,65,fat
132,61,fat
203,59,thin
154,55,normal
133,57,fat
142,65,fat
150,63,fat
163,60,normal
116,55,fat
159,63,normal
117,64,fat
209,65,thin
140,64,fat
184,65,normal
196,62,thin
190,57,thin
143,61,fat
213,57,thin
203,59,thin
212,60,thin
165,57,normal
150,55,normal
146,63,fat
171,57,normal
166,65,normal
193,63,thin
162,64,normal
159,62,normal
173,65,normal
158,57,normal
151,64,fat
208,60,thin
159,60,normal
155,65,fat
205,55,thin
110,64,fat
125,62,fat
202,56,thin
163,61,normal
169,61,normal
220,56,thin
128,61,fat
146,55,fat
188,56,thin
125,56,fat
186,55,thin
193,64,thin
171,65,normal
160,59,normal
135,57,fat
203,64,thin
183,56,thin
166,59,normal
145,61,fat
120,64,fat
214,59,thin
129,65,fat
134,62,fat
130,59,fat
160,59,normal
123,59,fat
126,61,fat
144,56,fat
156,60,normal
116,62,fat
145,55,fat
147,63,fat
137,60,fat
146,62,fat
123,64,fat
182,64,normal
217,55,thin
156,56,normal
179,55,thin
173,61,normal
187,61,thin
153,61,fat
176,62,normal
125,59,fat
117,65,fat
199,56,thin
161,55,normal
154,56,normal
191,59,thin
214,60,thin
122,59,fat
199,57,thin
166,61,normal
213,56,thin
169,60,normal
167,60,normal
215,57,thin
127,64,fat
126,63,fat
126,57,fat
217,61,thin
125,60,fat
212,60,thin
114,61,fat
216,59,thin
211,56,thin
145,61,fat
212,58,thin
213,64,thin
189,55,thin
218,65,thin
144,55,fat
209,56,thin
160,57,normal
113,63,fat
192,63,thin
125,62,fat
129,64,fat
114,62,fat
204,55,thin
166,56,normal
136,60,fat
117,55,fat
119,57,fat
169,55,normal
201,59,thin
115,57,fat
210,57,thin
153,55,normal
178,55,thin
146,58,fat
199,63,thin
187,65,normal
152,60,fat
136,57,fat
217,55,thin
160,59,normal
189,58,thin
198,57,thin
126,63,fat
162,57,normal
209,57,thin
169,62,normal
208,58,thin
130,55,fat
188,62,thin
182,62,normal
116,58,fat
178,61,normal
159,60,normal
124,63,fat
121,64,fat
211,65,thin
161,62,normal
215,62,thin
182,63,normal
117,57,fat
124,60,fat
171,64,normal
211,61,thin
133,57,fat
180,58,thin
182,64,normal
137,60,fat
194,56,thin
175,58,normal
117,58,fat
219,56,thin
122,60,fat
157,65,fat
206,57,thin
153,59,fat
150,63,fat
200,59,thin
135,57,fat
204,65,thin
192,55,thin
178,57,thin
132,65,fat
154,59,normal
173,59,normal
141,63,fat
131,56,fat
136,58,fat
205,56,thin
146,65,fat
217,58,thin
180,55,thin
139,64,fat
130,56,fat
179,65,normal
129,61,fat
147,58,fat
125,58,fat
170,65,normal
163,59,normal
145,56,fat
218,61,thin
144,60,fat
197,59,thin
171,57,normal
211,59,thin
114,58,fat
165,55,normal
216,58,thin
136,59,fat
111,62,fat
210,59,thin
131,55,fat
187,62,thin
165,57,normal
178,57,thin
152,59,fat
147,63,fat
139,61,fat
203,65,thin
120,61,fat
121,60,fat
200,60,thin
132,63,fat
177,57,thin
190,57,thin
172,61,normal
212,59,thin
179,56,thin
191,58,thin
154,56,normal
135,64,fat
213,58,thin
189,55,thin
209,65,thin
166,62,normal
153,65,fat
128,60,fat
178,59,normal
187,64,thin
147,64,fat
169,64,normal
136,61,fat
162,64,normal
210,64,thin
217,58,thin
220,62,thin
216,60,thin
119,61,fat
155,60,normal
158,61,normal
116,62,fat
182,62,normal
187,61,thin
137,62,fat
164,61,normal
136,56,fat
132,59,fat
203,62,thin
213,56,thin
159,62,normal
210,56,thin
129,55,fat
158,65,fat
120,62,fat
219,62,thin
136,55,fat
202,64,thin
216,57,thin
143,55,fat
216,55,thin
112,63,fat
208,59,thin
119,62,fat
171,58,normal
175,64,normal
216,59,thin
174,61,normal
175,60,normal
205,55,thin
154,57,normal
165,62,normal
197,55,thin
134,58,fat
194,56,thin
179,59,thin
175,58,normal
139,58,fat
188,58,thin
121,59,fat
176,63,normal
208,58,thin
115,61,fat
204,61,thin
153,61,fat
154,64,fat
220,62,thin
185,64,normal
210,62,thin
110,58,fat
142,63,fat
144,62,fat
218,59,thin
176,63,normal
130,56,fat
188,65,thin
132,58,fat
196,57,thin
163,55,normal
114,61,fat
120,62,fat
160,63,normal
125,56,fat
215,58,thin
131,57,fat
147,64,fat
122,62,fat
112,58,fat
213,61,thin
169,65,normal
114,55,fat
153,58,normal
217,60,thin
168,61,normal
184,65,normal
136,65,fat
147,61,fat
174,59,normal
167,61,normal
135,63,fat
145,56,fat
130,55,fat
126,56,fat
203,55,thin
135,57,fat
185,64,normal
198,56,thin
126,57,fat
193,61,thin
204,56,thin
189,65,thin
133,61,fat
190,58,thin
128,62,fat
190,61,thin
148,57,fat
129,59,fat
155,57,normal
188,59,thin
159,64,fat
192,59,thin
142,57,fat
187,65,normal
119,58,fat
210,64,thin
176,57,thin
190,63,thin
182,55,thin
201,64,thin
128,57,fat
179,60,normal
140,60,fat
144,63,fat
141,57,fat
157,64,fat
145,55,fat
168,62,normal
129,58,fat
153,61,fat
203,65,thin
163,57,normal
144,60,fat
165,59,normal
188,61,thin
166,63,normal
114,58,fat
143,64,fat
123,56,fat
176,61,normal
183,59,thin
185,58,thin
174,61,normal
154,55,normal
138,56,fat
161,62,normal
112,59,fat
147,58,fat
133,58,fat
166,64,normal
183,56,thin
161,60,normal
144,59,fat
110,60,fat
121,57,fat
197,61,thin
123,61,fat
132,56,fat
110,60,fat
207,61,thin
203,65,thin
183,59,thin
123,62,fat
165,55,normal
211,56,thin
120,62,fat
168,55,normal
203,56,thin
205,56,thin
136,64,fat
211,61,thin
210,60,thin
189,58,thin
140,62,fat
149,57,fat
159,56,normal
137,65,fat
169,57,normal
118,63,fat
172,62,normal
150,57,fat
138,65,fat
198,60,thin
130,57,fat
173,57,normal
200,62,thin
210,63,thin
177,61,normal
212,55,thin
156,55,normal
159,60,normal
220,64,thin
121,65,fat
115,55,fat
150,63,fat
174,60,normal
150,57,fat
153,55,normal
118,61,fat
135,59,fat
148,61,fat
161,57,normal
186,62,thin
130,61,fat
144,65,fat
212,64,thin
148,58,fat
153,63,fat
200,63,thin
153,58,normal
166,61,normal
176,57,thin
193,60,thin
115,61,fat
167,63,normal
123,59,fat
180,64,normal
142,56,fat
192,55,thin
211,60,thin
216,64,thin
202,56,thin
220,57,thin
202,62,thin
120,65,fat
200,60,thin
185,62,thin
136,61,fat
134,57,fat
208,56,thin
198,60,thin
148,55,fat
220,63,thin
182,56,thin
179,58,thin
148,60,fat
161,60,normal
195,61,thin
125,62,fat
212,58,thin
212,62,thin
174,64,normal
186,58,thin
194,62,thin
186,65,normal
148,58,fat
120,61,fat
188,65,thin
212,63,thin
173,61,normal
154,64,fat
173,60,normal
164,58,normal
193,62,thin
119,63,fat
197,57,thin
198,62,thin
167,55,normal
142,56,fat
137,57,fat
134,55,fat
175,58,normal
214,56,thin
180,60,normal
208,63,thin
206,61,thin
133,65,fat
167,58,normal
207,63,thin
205,60,thin
203,59,thin
128,59,fat
162,61,normal
172,63,normal
185,60,thin
185,65,normal
135,58,fat
126,60,fat
121,58,fat
211,61,thin
143,58,fat
183,65,normal
171,65,normal
150,61,fat
189,60,thin
207,57,thin
171,62,normal
121,60,fat
158,61,normal
219,64,thin
193,58,thin
175,58,normal
186,65,normal
124,59,fat
134,61,fat
218,65,thin
111,62,fat
170,59,normal
160,65,fat
163,58,normal
190,64,thin
122,64,fat
119,59,fat
137,57,fat
142,58,fat
190,58,thin
188,56,thin
122,59,fat
201,61,thin
130,56,fat
200,55,thin
183,58,thin
165,63,normal
133,59,fat
198,64,thin
181,61,normal
189,65,thin
155,57,normal
128,62,fat
161,64,normal
163,62,normal
165,56,normal
128,61,fat
211,59,thin
185,57,thin
121,64,fat
189,59,thin
176,62,normal
212,60,thin
122,62,fat
149,60,fat
148,65,fat
165,65,normal
142,55,fat
156,62,fat
128,63,fat
151,60,fat
165,55,normal
218,60,thin
176,60,normal
148,60,fat
157,64,fat
187,61,thin
177,58,normal
128,65,fat
164,62,normal
115,65,fat
165,60,normal
203,65,thin
156,62,fat
156,62,fat
149,57,fat
170,65,normal
213,56,thin
157,60,normal
209,60,thin
152,57,normal
205,62,thin
135,57,fat
159,57,normal
149,61,fat
144,57,fat
194,62,thin
167,64,normal
137,62,fat
124,60,fat
215,55,thin
177,63,normal
119,60,fat
209,59,thin
201,62,thin
169,55,normal
214,62,thin
111,60,fat
149,64,fat
156,64,fat
128,62,fat
201,61,thin
202,59,thin
114,56,fat
215,61,thin
174,63,normal
214,58,thin
114,64,fat
117,62,fat
140,55,fat
182,56,thin
144,62,fat
215,60,thin
195,60,thin
120,62,fat
156,62,fat
147,57,fat
130,58,fat
220,63,thin
169,55,normal
153,65,fat
129,58,fat
135,58,fat
140,61,fat
122,59,fat
203,65,thin
199,58,thin
210,61,thin
187,61,thin
130,58,fat
126,56,fat
128,55,fat
149,57,fat
135,61,fat
168,55,normal
196,59,thin
136,58,fat
166,57,normal
203,63,thin
143,61,fat
117,63,fat
120,61,fat
191,64,thin
116,56,fat
123,56,fat
122,58,fat
121,61,fat
160,61,normal
122,59,fat
174,59,normal
143,57,fat
143,59,fat
138,63,fat
188,62,thin
116,56,fat
162,57,normal
214,55,thin
151,59,fat
187,55,thin
211,57,thin
206,64,thin
165,56,normal
196,55,thin
129,59,fat
149,59,fat
207,55,thin
136,61,fat
157,62,fat
210,64,thin
155,58,normal
115,64,fat
140,58,fat
150,63,fat
182,55,thin
128,63,fat
134,62,fat
132,55,fat
199,65,thin
195,61,thin
146,63,fat
185,63,thin
187,62,thin
200,61,thin
166,65,normal
152,64,fat
132,61,fat
160,61,normal
131,60,fat
134,61,fat
152,62,fat
136,55,fat
218,55,thin
121,60,fat
190,62,thin
114,58,fat
125,63,fat
139,56,fat
216,64,thin
166,61,normal
124,60,fat
162,58,normal
136,61,fat
113,56,fat
202,61,thin
129,64,fat
209,59,thin
163,58,normal
167,56,normal
197,57,thin
150,63,fat
202,59,thin
202,62,thin
211,58,thin
112,58,fat
128,62,fat
137,56,fat
214,60,thin
171,58,normal
141,56,fat
211,56,thin
116,61,fat
159,63,normal
142,57,fat
205,61,thin
173,63,normal
115,62,fat
168,63,normal
116,58,fat
220,55,thin
126,60,fat
129,60,fat
113,58,fat
205,65,thin
117,55,fat
156,64,fat
187,63,thin
156,60,normal
159,62,normal
206,55,thin
172,63,normal
110,56,fat
214,59,thin
186,60,thin
118,63,fat
115,56,fat
118,57,fat
139,65,fat
196,57,thin
127,57,fat
195,57,thin
171,60,normal
143,64,fat
113,61,fat
110,63,fat
143,58,fat
146,62,fat
150,64,fat
145,64,fat
185,60,thin
172,61,normal
169,57,normal
198,65,thin
176,63,normal
131,60,fat
144,64,fat
112,57,fat
136,56,fat
129,57,fat
121,55,fat
123,61,fat
196,61,thin
199,59,thin
168,62,normal
202,61,thin
142,57,fat
129,57,fat
186,63,thin
113,64,fat
176,55,thin
184,65,normal
144,63,fat
135,65,fat
210,64,thin
129,60,fat
157,64,fat
171,60,normal
201,61,thin
127,62,fat
216,60,thin
115,63,fat
184,59,thin
190,56,thin
191,57,thin
132,59,fat
127,61,fat
129,64,fat
143,62,fat
184,60,thin
118,57,fat
122,61,fat
205,65,thin
207,59,thin
134,55,fat
176,61,normal
201,63,thin
206,60,thin
185,63,thin
142,65,fat
179,60,normal
126,63,fat
148,61,fat
114,56,fat
130,57,fat
216,63,thin
124,65,fat
147,59,fat
122,65,fat
171,55,normal
145,63,fat
125,57,fat
133,58,fat
156,57,normal
111,56,fat
160,58,normal
165,59,normal
175,62,normal
173,61,normal
131,58,fat
172,58,normal
136,63,fat
198,57,thin
169,57,normal
195,58,thin
132,60,fat
191,55,thin
192,64,thin
152,55,normal
169,58,normal
187,57,thin
141,64,fat
163,65,normal
149,56,fat
201,55,thin
129,63,fat
170,61,normal
131,55,fat
133,61,fat
165,64,normal
211,56,thin
202,65,thin
155,61,fat
183,56,thin
113,63,fat
135,55,fat
163,58,normal
165,61,normal
129,64,fat
176,57,thin
153,57,normal
146,60,fat
211,55,thin
191,60,thin
162,56,normal
162,59,normal
161,56,normal
136,61,fat
204,59,thin
198,61,thin
142,63,fat
153,58,normal
189,65,thin
210,56,thin
200,58,thin
211,63,thin
160,55,normal
210,59,thin
213,57,thin
184,60,thin
210,56,thin
169,65,normal
194,58,thin
184,61,thin
162,65,normal
121,59,fat
173,63,normal
178,57,thin
187,64,thin
121,62,fat
118,63,fat
159,61,normal
135,60,fat
134,61,fat
137,62,fat
192,60,thin
204,63,thin
149,65,fat
171,63,normal
155,56,normal
145,55,fat
147,63,fat
114,65,fat
139,57,fat
218,61,thin
206,62,thin
208,62,thin
137,65,fat
214,62,thin
207,56,thin
190,62,thin
196,63,thin
193,64,thin
142,64,fat
125,55,fat
143,64,fat
180,58,thin
199,60,thin
112,59,fat
202,61,thin
124,65,fat
209,61,thin
171,63,normal
176,59,normal
179,60,normal
194,62,thin
168,62,normal
123,58,fat
133,63,fat
206,62,thin
157,56,normal
156,58,normal
213,61,thin
166,60,normal
136,65,fat
183,60,thin
164,58,normal
124,65,fat
143,65,fat
220,55,thin
174,56,thin
154,63,fat
146,63,fat
166,63,normal
190,61,thin
165,56,normal
180,58,thin
212,59,thin
153,62,fat
162,63,normal
163,56,normal
186,62,thin
167,56,normal
172,65,normal
133,62,fat
130,58,fat
206,55,thin
177,56,thin
152,64,fat
134,55,fat
162,65,normal
185,63,thin
154,56,normal
161,59,normal
159,65,fat
207,59,thin
169,63,normal
219,55,thin
210,64,thin
161,64,normal
169,55,normal
207,60,thin
194,59,thin
190,60,thin
193,61,thin
119,59,fat
139,57,fat
114,55,fat
128,56,fat
164,64,normal
168,58,normal
122,63,fat
151,58,fat
213,64,thin
199,58,thin
175,55,thin
212,65,thin
142,58,fat
175,55,thin
132,55,fat
216,61,thin
136,59,fat
149,56,fat
162,60,normal
208,55,thin
190,63,thin
111,61,fat
126,61,fat
141,65,fat
134,63,fat
136,59,fat
174,58,normal
150,60,fat
217,61,thin
196,57,thin
130,59,fat
137,56,fat
216,64,thin
156,56,normal
199,59,thin
173,57,normal
142,55,fat
114,55,fat
152,62,fat
205,57,thin
157,58,normal
185,57,thin
162,65,normal
123,58,fat
113,58,fat
172,56,normal
134,65,fat
148,59,fat
204,59,thin
141,61,fat
181,56,thin
181,64,normal
118,59,fat
113,61,fat
196,56,thin
120,55,fat
190,64,thin
197,61,thin
116,55,fat
128,56,fat
122,61,fat
182,65,normal
202,58,thin
153,55,normal
205,56,thin
138,56,fat
124,63,fat
137,59,fat
160,56,normal
187,59,thin
213,64,thin
187,60,thin
174,59,normal
164,59,normal
173,57,normal
125,65,fat
195,57,thin
110,57,fat
165,57,normal
148,57,fat
183,62,normal
203,55,thin
133,58,fat
185,62,thin
134,59,fat
150,57,fat
166,64,normal
217,63,thin
204,58,thin
179,58,thin
146,65,fat
128,61,fat
126,61,fat
111,55,fat
120,61,fat
148,60,fat
174,60,normal
142,57,fat
170,63,normal
125,62,fat
182,57,thin
128,55,fat
118,65,fat
154,57,normal
211,59,thin
206,58,thin
139,65,fat
113,58,fat
139,59,fat
202,61,thin
145,60,fat
219,57,thin
166,64,normal
218,56,thin
220,59,thin
201,62,thin
181,57,thin
129,62,fat
159,65,fat
197,61,thin
154,61,fat
193,59,thin
212,56,thin
209,65,thin
205,61,thin
179,55,thin
217,62,thin
138,65,fat
167,62,normal
177,59,normal
124,58,fat
200,57,thin
142,61,fat
156,56,normal
162,56,normal
169,60,normal
164,59,normal
192,60,thin
136,55,fat
218,62,thin
216,55,thin
124,62,fat
186,65,normal
160,57,normal
119,60,fat
181,63,normal
141,58,fat
132,58,fat
188,57,thin
110,55,fat
162,57,normal
199,56,thin
158,57,normal
211,55,thin
117,61,fat
127,65,fat
220,60,thin
137,57,fat
193,64,thin
158,64,fat
164,56,normal
129,59,fat
158,61,normal
202,58,thin
153,64,fat
219,65,thin
200,58,thin
168,64,normal
133,65,fat
131,63,fat
113,62,fat
177,58,normal
115,60,fat
130,62,fat
162,63,normal
116,58,fat
209,59,thin
203,65,thin
159,60,normal
213,59,thin
123,61,fat
155,55,normal
200,58,thin
159,61,normal
167,65,normal
123,61,fat
202,56,thin
122,60,fat
118,59,fat
158,64,fat
138,58,fat
172,65,normal
186,56,thin
165,61,normal
131,60,fat
124,63,fat
149,57,fat
169,55,normal
115,55,fat
172,57,normal
216,59,thin
164,55,normal
177,58,normal
175,65,normal
138,60,fat
110,63,fat
199,64,thin
116,64,fat
218,60,thin
176,57,thin
216,56,thin
143,64,fat
129,65,fat
169,63,normal
178,63,normal
112,63,fat
161,55,normal
174,62,normal
180,58,thin
213,56,thin
212,64,thin
158,62,normal
199,61,thin
133,58,fat
175,64,normal
133,63,fat
190,55,thin
210,55,thin
200,65,thin
167,60,normal
125,55,fat
215,58,thin
159,57,normal
154,64,fat
164,64,normal
209,55,thin
206,63,thin
203,56,thin
117,58,fat
189,62,thin
149,59,fat
148,65,fat
181,60,thin
205,63,thin
154,63,fat
168,57,normal
167,56,normal
218,58,thin
130,56,fat
160,60,normal
213,59,thin
158,56,normal
179,59,thin
197,58,thin
171,57,normal
149,60,fat
163,62,normal
142,59,fat
151,61,fat
157,58,normal
138,64,fat
112,62,fat
142,59,fat
133,58,fat
203,59,thin
128,56,fat
144,63,fat
168,55,normal
167,59,normal
212,63,thin
188,63,thin
174,59,normal
126,60,fat
208,58,thin
152,58,fat
131,58,fat
176,65,normal
197,65,thin
177,58,normal
147,55,fat
202,65,thin
196,64,thin
120,62,fat
184,57,thin
142,58,fat
169,62,normal
188,63,thin
208,58,thin
113,57,fat
162,62,normal
130,61,fat
136,65,fat
161,63,normal
194,64,thin
133,65,fat
156,60,normal
213,62,thin
147,56,fat
208,57,thin
126,58,fat
190,55,thin
182,60,thin
123,61,fat
124,55,fat
162,56,normal
172,55,normal
169,60,normal
118,64,fat
124,65,fat
140,62,fat
214,59,thin
184,63,normal
166,60,normal
176,65,normal
185,56,thin
138,61,fat
189,55,thin
155,65,fat
153,65,fat
127,56,fat
198,62,thin
208,56,thin
171,62,normal
146,59,fat
151,59,fat
209,58,thin
220,57,thin
171,60,normal
174,62,normal
114,56,fat
112,65,fat
211,62,thin
124,61,fat
183,57,thin
176,64,normal
192,56,thin
208,60,thin
174,60,normal
191,59,thin
132,60,fat
213,60,thin
155,64,fat
185,59,thin
184,63,normal
118,64,fat
140,59,fat
145,55,fat
170,59,normal
115,55,fat
174,58,normal
159,56,normal
175,65,normal
123,61,fat
219,57,thin
191,59,thin
134,56,fat
182,63,normal
114,56,fat
216,64,thin
195,56,thin
202,63,thin
143,58,fat
130,57,fat
185,59,thin
115,65,fat
124,55,fat
202,60,thin
175,61,normal
136,62,fat
115,56,fat
125,57,fat
190,62,thin
174,61,normal
216,61,thin
183,59,thin
137,65,fat
207,62,thin
210,65,thin
119,65,fat
186,59,thin
200,62,thin
189,60,thin
152,59,fat
193,60,thin
210,57,thin
157,57,normal
167,65,normal
138,60,fat
144,59,fat
116,63,fat
193,56,thin
152,59,fat
155,60,normal
219,63,thin
124,57,fat
185,64,normal
211,63,thin
141,58,fat
128,55,fat
193,55,thin
132,62,fat
146,64,fat
190,60,thin
201,65,thin
152,56,normal
136,59,fat
125,60,fat
133,62,fat
188,57,thin
151,65,fat
126,62,fat
220,64,thin
219,57,thin
165,64,normal
209,58,thin
211,57,thin
207,58,thin
135,64,fat
205,55,thin
142,64,fat
189,63,thin
138,65,fat
173,61,normal
170,58,normal
121,59,fat
215,56,thin
155,63,fat
138,57,fat
174,63,normal
123,63,fat
207,63,thin
198,59,thin
133,61,fat
204,61,thin
128,57,fat
198,57,thin
124,63,fat
114,65,fat
163,59,normal
170,65,normal
192,65,thin
124,61,fat
209,55,thin
219,63,thin
129,59,fat
176,59,normal
178,62,normal
164,65,normal
138,59,fat
133,56,fat
112,65,fat
202,61,thin
139,57,fat
140,61,fat
158,64,fat
142,57,fat
178,62,normal
137,65,fat
129,64,fat
213,55,thin
117,61,fat
188,59,thin
173,61,normal
110,63,fat
129,62,fat
175,55,thin
144,56,fat
158,55,normal
157,60,normal
161,56,normal
166,65,normal
120,61,fat
114,56,fat
206,55,thin
165,57,normal
147,62,fat
191,59,thin
142,61,fat
141,57,fat
174,56,thin
206,64,thin
213,60,thin
119,60,fat
170,60,normal
203,62,thin
179,59,thin
164,58,normal
204,61,thin
174,56,thin
199,57,thin
189,60,thin
136,60,fat
114,63,fat
206,55,thin
168,63,normal
169,58,normal
133,60,fat
129,64,fat
173,62,normal
155,59,normal
